"Category 
Clothing","Category-
Accessories","Category-Accessories
Bags","Category -
Footwear","Attribute-
Color","Attribute-
Print","Styles
womenswear","Styles
Menswear",Body fit,Budgets,Show off
All In One,Belts,Shoulder Bags,Heels,Beige,Animal,Rebel,Rebel,fuller bust,0-150,arms
Nightwear,Gloves,Top Handle Bags,Boots,Black,Check,Classic,Classic,Maternity,150-500,back
Jacket,Hats,Clutches,Loafers,Blue,Floral,Feminine,Preppy,Petite,500+,cleavage
Coats,Jewellery,Belt Bags,Trainers,Brown,Gingham,Hypebeast,Hypebeast,Plus,,legs
Dresses,Scarves,Tote Bags,Sandals,Gold,Houndtooth,Minimal,Utilitarian,Tall,,shoulders
Shirts,Sunglasses,Holdall,Slippers,Green,No print,Normcore,Normcore,,,stomach
Skirts,Travel Accessories,Backpacks,Shoes,Grey,Other print,Boho,,,,
Tops,Hair Accessories,,,Multicolored,Polka dot,,,,,
Trousers,Pocket squares,,,Neutral,Stipes,,,,,
Jumpsuits,Cufflinks,,,Orange,Tartan,,,,,
Vests,Beach Accessories,,,Pink,Tweed,,,,,
Shorts,Ties,,,Purple,,,,,,
Swimwear,Wallets,,,Red,,,,,,
Beachwear,,,,Silver,,,,,,
Underwear,,,,White,,,,,,
Blouses,,,,Yellow,,,,,,
Jeans,,,,,,,,,,
Jumpers,,,,,,,,,,
Knitwear,,,,,,,,,,
Outerwear,,,,,,,,,,
Blazers,,,,,,,,,,
Loungewear,,,,,,,,,,
Activewear,,,,,,,,,,
Lingerie,,,,,,,,,,
